name,type,sector
BuildRight Construction,Corp,Real Estate
HomeFinder,Startup,Real Estate
EduWorld Group,Corp,EdTech
LearnHub,Startup,EdTech
MediaStream Global,Corp,Entertainment
ShortClip,Startup,Entertainment
AgriCorp Global,Corp,Agriculture
GreenHarvest,Startup,Agriculture
AutoLogix,Corp,Automotive
DriveMint,Startup,Automotive
FashionHouse Inc,Corp,Fashion & Retail
StyleFusion,Startup,Fashion & Retail
BioMed Labs,Corp,Pharmaceuticals
HealthSprint,Startup,Pharmaceuticals
HotelGroup Global,Corp,Travel & Hospitality
TravelEase,Startup,Travel & Hospitality
RoboTech Industries,Corp,Robotics
AutomateCo,Startup,Robotics
BankOne,Corp,Payments
PayFlow,Startup,Payments
